trip_name,counts
Civic Center BART (7th at Market) - Market at 4th,342
Grant Avenue at Columbus Avenue - Embarcadero at Sansome,341
Ryland Park - Santa Clara County Civic Center,340
San Jose Diridon Caltrain Station - Paseo de San Antonio,340
2nd at Townsend - 2nd at Townsend,339
Powell Street BART - 2nd at Folsom,339
Temporary Transbay Terminal (Howard at Beale) - Mechanics Plaza (Market at Battery),339
Cowper at University - Palo Alto Caltrain Station,337
Yerba Buena Center of the Arts (3rd @ Howard) - Market at Sansome,337
South Van Ness at Market - Embarcadero at Sansome,335
Harry Bridges Plaza (Ferry Building) - Mechanics Plaza (Market at Battery),335
Embarcadero at Folsom - San Francisco Caltrain 2 (330 Townsend),334
Townsend at 7th - Harry Bridges Plaza (Ferry Building),330
Clay at Battery - Embarcadero at Sansome,328
San Pedro Square - San Jose Diridon Caltrain Station,328
MLK Library - San Jose Diridon Caltrain Station,326
San Francisco Caltrain 2 (330 Townsend) - 2nd at Townsend,325
Commercial at Montgomery - Yerba Buena Center of the Arts (3rd @ Howard),323
SJSU - San Salvador at 9th - San Jose Diridon Caltrain Station,323
Market at 4th - Civic Center BART (7th at Market),322
South Van Ness at Market - Mechanics Plaza (Market at Battery),322
South Van Ness at Market - San Francisco Caltrain 2 (330 Townsend),322
Townsend at 7th - 2nd at Townsend,321
Market at 4th - Grant Avenue at Columbus Avenue,317
Steuart at Market - 5th at Howard,317
Embarcadero at Bryant - Embarcadero at Bryant,317
Temporary Transbay Terminal (Howard at Beale) - Market at 10th,317
Palo Alto Caltrain Station - Park at Olive,316
Civic Center BART (7th at Market) - Powell Street BART,316
Harry Bridges Plaza (Ferry Building) - Market at 10th,316
Santa Clara at Almaden - Arena Green / SAP Center,314
Davis at Jackson - Market at Sansome,311
Embarcadero at Bryant - Beale at Market,311
Howard at 2nd - 2nd at South Park,310
5th at Howard - Temporary Transbay Terminal (Howard at Beale),307
Grant Avenue at Columbus Avenue - Harry Bridges Plaza (Ferry Building),306
Harry Bridges Plaza (Ferry Building) - Commercial at Montgomery,306
Townsend at 7th - 2nd at Folsom,305
Washington at Kearny - Embarcadero at Folsom,305
Townsend at 7th - 2nd at South Park,303
South Van Ness at Market - San Francisco Caltrain (Townsend at 4th),303
Temporary Transbay Terminal (Howard at Beale) - Powell Street BART,303
5th at Howard - Market at 10th,301
Rengstorff Avenue / California Street - Mountain View Caltrain Station,300
Powell at Post (Union Square) - Grant Avenue at Columbus Avenue,299
Mountain View Caltrain Station - Evelyn Park and Ride,299
Embarcadero at Vallejo - Embarcadero at Vallejo,298
Davis at Jackson - Market at 4th,296
Powell Street BART - Beale at Market,295
Market at 4th - Market at Sansome,294
Steuart at Market - Steuart at Market,294
Civic Center BART (7th at Market) - 5th at Howard,293
Market at Sansome - Townsend at 7th,290
