trip_name,counts
South Van Ness at Market - Commercial at Montgomery,153
San Salvador at 1st - San Jose Diridon Caltrain Station,153
Grant Avenue at Columbus Avenue - Post at Kearny,152
Market at 10th - Market at 10th,151
Powell at Post (Union Square) - Post at Kearny,151
Spear at Folsom - 2nd at Folsom,150
5th at Howard - Spear at Folsom,150
San Jose Diridon Caltrain Station - San Jose Civic Center,150
Townsend at 7th - Commercial at Montgomery,150
2nd at Folsom - Embarcadero at Folsom,149
Beale at Market - Harry Bridges Plaza (Ferry Building),149
Golden Gate at Polk - Market at 4th,148
2nd at South Park - 2nd at Townsend,147
Mechanics Plaza (Market at Battery) - 2nd at Townsend,147
Embarcadero at Bryant - Beale at Market,147
Ryland Park - San Jose Civic Center,147
Powell Street BART - Mechanics Plaza (Market at Battery),147
Commercial at Montgomery - Temporary Transbay Terminal (Howard at Beale),147
Howard at 2nd - Market at 10th,146
Cowper at University - University and Emerson,146
Golden Gate at Polk - Post at Kearny,145
South Van Ness at Market - Embarcadero at Folsom,145
